Planet,Mission,Mission Type,Rotation,Item,Droprate,Droprate Category
Mercury,Lares ,(Defense),C,Metal Auger,8.33,Rare
Mercury,Lares ,(Defense),C,Ravage,8.33,Rare
Mercury,Lares ,(Defense),C,Continuity,8.33,Rare
Mercury,Lares ,(Defense),C,Master Thief,8.33,Rare
Mercury,Lares ,(Defense),C,80 Endo,8.33,Rare
Mercury,Lares ,(Defense),C,Meso T1 Relic,8.33,Rare
Mercury,Lares ,(Defense),C,Meso Z1 Relic,8.33,Rare
Mercury,Lares ,(Defense),C,Meso B2 Relic,8.33,Rare
Mercury,Lares ,(Defense),C,Meso S8 Relic,8.33,Rare
Mercury,Lares ,(Defense),C,Meso T3 Relic,8.33,Rare
Mercury,Lares ,(Defense),C,Meso D3 Relic,8.33,Rare
Mercury,Lares ,(Defense),C,Meso R1 Relic,8.33,Rare
Mercury,Caloris ,(Rescue),B,Vapor Specter Blueprint,100,Very Common
Mercury,Caloris ,(Rescue),C,Phase Specter Blueprint,100,Very Common
Mercury,Elion ,(Capture),,Vitality,10.84,Uncommon
Mercury,Elion ,(Capture),,Fast Deflection,10.84,Uncommon
Mercury,Elion ,(Capture),,Rush,11.06,Uncommon
Mercury,Elion ,(Capture),,Magazine Warp,10.84,Uncommon
Mercury,Elion ,(Capture),,Trick Mag,10.84,Uncommon
Mercury,Elion ,(Capture),,Pressure Point,0.34,Legendary
Mercury,Elion ,(Capture),,Ammo Drum,11.06,Uncommon
Mercury,Elion ,(Capture),,Fast Hands,10.84,Uncommon
Mercury,Elion ,(Capture),,Quickdraw,10.84,Uncommon
Mercury,Elion ,(Capture),,Health Restore (Large),10.84,Uncommon
Mercury,Elion ,(Capture),,Omni Ammo Box,0.34,Legendary
Mercury,Elion ,(Capture),,North Wind,0.34,Legendary
Mercury,Elion ,(Capture),,Shocking Touch,0.34,Legendary
Mercury,Elion ,(Capture),,Molten Impact,0.34,Legendary
Mercury,Elion ,(Capture),,Stretch,0.34,Legendary
Mercury,Terminus ,(Caches),A,1000 Credits Cache,25,Uncommon
Mercury,Terminus ,(Caches),A,1500 Credits Cache,25,Uncommon
Mercury,Terminus ,(Caches),A,2000 Credits Cache,25,Uncommon
Mercury,Terminus ,(Caches),A,2500 Credits Cache,25,Uncommon
Mercury,Terminus ,(Caches),B,45 Endo,12.65,Uncommon
Mercury,Terminus ,(Caches),B,75 Endo,12.65,Uncommon
Mercury,Terminus ,(Caches),B,150 Endo,12.65,Uncommon
Mercury,Terminus ,(Caches),B,240X Polymer Bundle,12.65,Uncommon
Mercury,Terminus ,(Caches),B,750X Circuits,12.65,Uncommon
Mercury,Terminus ,(Caches),B,750X Alloy Plate,12.65,Uncommon
Mercury,Terminus ,(Caches),B,250 Endo,22.11,Uncommon
Mercury,Terminus ,(Caches),B,240 Endo,1.01,Ultra Rare
Mercury,Terminus ,(Caches),B,400 Endo,1.01,Ultra Rare
Mercury,Terminus ,(Caches),C,80 Endo,15.1,Uncommon
Mercury,Terminus ,(Caches),C,150 Endo,15.1,Uncommon
Mercury,Terminus ,(Caches),C,Morphics,15.1,Uncommon
Mercury,Terminus ,(Caches),C,Gallium,15.1,Uncommon
Mercury,Terminus ,(Caches),C,Neurodes,15.1,Uncommon
Mercury,Terminus ,(Caches),C,2X Morphics,5.5,Rare
Mercury,Terminus ,(Caches),C,2X Gallium,5.5,Rare
Mercury,Terminus ,(Caches),C,2X Neurodes,5.5,Rare
Mercury,Terminus ,(Caches),C,160 Endo,5.5,Rare
Mercury,Terminus ,(Caches),C,Argon Crystal,0.67,Legendary
Mercury,Terminus ,(Caches),C,Tellurium,0.67,Legendary
Mercury,Terminus ,(Caches),C,Nitain Extract,0.67,Legendary
Mercury,Terminus ,(Caches),C,Xiphos Fuselage Blueprint,0.5,Legendary
Mercury,Tolstoj ,(Assassination),,Seer Blueprint,38.72,Common
Mercury,Tolstoj ,(Assassination),,Seer Barrel,38.72,Common
Mercury,Tolstoj ,(Assassination),,Seer Receiver,22.56,Uncommon
Mercury,Tolstoj ,(Assassination),A,1000 Credits Cache,25,Uncommon
Mercury,Tolstoj ,(Assassination),A,1500 Credits Cache,25,Uncommon
Mercury,Tolstoj ,(Assassination),A,2000 Credits Cache,25,Uncommon
Mercury,Tolstoj ,(Assassination),A,2500 Credits Cache,25,Uncommon
Mercury,Tolstoj ,(Assassination),B,45 Endo,12.65,Uncommon
Mercury,Tolstoj ,(Assassination),B,75 Endo,12.65,Uncommon
Mercury,Tolstoj ,(Assassination),B,150 Endo,12.65,Uncommon
Mercury,Tolstoj ,(Assassination),B,240X Polymer Bundle,12.65,Uncommon
Mercury,Tolstoj ,(Assassination),B,750X Circuits,12.65,Uncommon
Mercury,Tolstoj ,(Assassination),B,750X Alloy Plate,12.65,Uncommon
Mercury,Tolstoj ,(Assassination),B,250 Endo,22.11,Uncommon
Mercury,Tolstoj ,(Assassination),B,240 Endo,1.01,Ultra Rare
Mercury,Tolstoj ,(Assassination),B,400 Endo,1.01,Ultra Rare
Mercury,Tolstoj ,(Assassination),C,80 Endo,15.1,Uncommon
Mercury,Tolstoj ,(Assassination),C,150 Endo,15.1,Uncommon
Mercury,Tolstoj ,(Assassination),C,Morphics,15.1,Uncommon
Mercury,Tolstoj ,(Assassination),C,Gallium,15.1,Uncommon
Mercury,Tolstoj ,(Assassination),C,Neurodes,15.1,Uncommon
Mercury,Tolstoj ,(Assassination),C,2X Morphics,5.5,Rare
Mercury,Tolstoj ,(Assassination),C,2X Gallium,5.5,Rare
Mercury,Tolstoj ,(Assassination),C,2X Neurodes,5.5,Rare
Mercury,Tolstoj ,(Assassination),C,160 Endo,5.5,Rare
Mercury,Tolstoj ,(Assassination),C,Argon Crystal,0.67,Legendary
Mercury,Tolstoj ,(Assassination),C,Tellurium,0.67,Legendary
Mercury,Tolstoj ,(Assassination),C,Nitain Extract,0.67,Legendary
Mercury,Tolstoj ,(Assassination),C,Xiphos Fuselage Blueprint,0.5,Legendary
Mercury,Tolstoj ,(Assassination),C,Morphic Transformer,5.64,Rare
Mercury,Tolstoj ,(Assassination),C,Automatic Trigger,38.72,Common
Mercury,Tolstoj ,(Assassination),C,Phaedra Receiver,5.64,Rare
Mercury,Tolstoj ,(Assassination),C,Extend,38.72,Common
Mercury,Tolstoj ,(Assassination),C,Shell Rush,5.64,Rare
Mercury,Odin ,(Interception),A,Vitality,10,Uncommon
Mercury,Odin ,(Interception),A,Magazine Warp,10,Uncommon
Mercury,Odin ,(Interception),A,Trick Mag,10,Uncommon
Mercury,Odin ,(Interception),A,Synthula,10,Uncommon
Mercury,Odin ,(Interception),A,Lith H2 Relic,10,Uncommon
Mercury,Odin ,(Interception),A,Lith P1 Relic,10,Uncommon
Mercury,Odin ,(Interception),A,Lith O1 Relic,10,Uncommon
Mercury,Odin ,(Interception),A,Lith Z2 Relic,10,Uncommon
Mercury,Odin ,(Interception),A,Lith C3 Relic,10,Uncommon
Mercury,Odin ,(Interception),A,Lith B5 Relic,10,Uncommon
Mercury,Odin ,(Interception),B,Speed Trigger,5.88,Rare
Mercury,Odin ,(Interception),B,Fast Deflection,5.88,Rare
Mercury,Odin ,(Interception),B,Rush,5.88,Rare
Mercury,Odin ,(Interception),B,Target Cracker,5.88,Rare
Mercury,Odin ,(Interception),B,No Return,5.88,Rare
Mercury,Odin ,(Interception),B,Serration,5.88,Rare
Mercury,Odin ,(Interception),B,Hornet Strike,5.88,Rare
Mercury,Odin ,(Interception),B,Reflex Coil,5.88,Rare
Mercury,Odin ,(Interception),B,Deep Freeze,5.88,Rare
Mercury,Odin ,(Interception),B,North Wind,5.88,Rare
Mercury,Odin ,(Interception),B,Meso T1 Relic,5.88,Rare
Mercury,Odin ,(Interception),B,Meso Z1 Relic,5.88,Rare
Mercury,Odin ,(Interception),B,Meso B2 Relic,5.88,Rare
Mercury,Odin ,(Interception),B,Meso S8 Relic,5.88,Rare
Mercury,Odin ,(Interception),B,Meso T3 Relic,5.88,Rare
Mercury,Odin ,(Interception),B,Meso D3 Relic,5.88,Rare
Mercury,Odin ,(Interception),B,Meso R1 Relic,5.88,Rare
Mercury,Odin ,(Interception),C,Natural Talent,2.58,Rare
Mercury,Odin ,(Interception),C,Meso T1 Relic,13.92,Uncommon
Mercury,Odin ,(Interception),C,Meso Z1 Relic,13.92,Uncommon
Mercury,Odin ,(Interception),C,Meso B2 Relic,13.92,Uncommon
Mercury,Odin ,(Interception),C,Meso S8 Relic,13.92,Uncommon
Mercury,Odin ,(Interception),C,Meso T3 Relic,13.92,Uncommon
Mercury,Odin ,(Interception),C,Meso D3 Relic,13.92,Uncommon
Mercury,Odin ,(Interception),C,Meso R1 Relic,13.92,Uncommon
Mercury,Suisei ,(Spy),A,Synthula,14.29,Uncommon
Mercury,Suisei ,(Spy),A,1500 Credits Cache,14.29,Uncommon
Mercury,Suisei ,(Spy),A,50 Endo,14.29,Uncommon
Mercury,Suisei ,(Spy),A,80 Endo,14.29,Uncommon
Mercury,Suisei ,(Spy),A,Reflection,14.29,Uncommon
Mercury,Suisei ,(Spy),A,Reflex Guard,14.29,Uncommon
Mercury,Suisei ,(Spy),A,Parry,14.29,Uncommon
Mercury,Suisei ,(Spy),B,Lith H2 Relic,16.67,Uncommon
Mercury,Suisei ,(Spy),B,Lith P1 Relic,16.67,Uncommon
Mercury,Suisei ,(Spy),B,Lith O1 Relic,16.67,Uncommon
Mercury,Suisei ,(Spy),B,Lith Z2 Relic,16.67,Uncommon
Mercury,Suisei ,(Spy),B,Lith C3 Relic,16.67,Uncommon
Mercury,Suisei ,(Spy),B,Lith B5 Relic,16.67,Uncommon
Mercury,Suisei ,(Spy),C,2000 Credits Cache,9.09,Rare
Mercury,Suisei ,(Spy),C,3000 Credits Cache,9.09,Rare
Mercury,Suisei ,(Spy),C,Reflection,9.09,Rare
Mercury,Suisei ,(Spy),C,Parry,9.09,Rare
Mercury,Suisei ,(Spy),C,Heavy Impact,9.09,Rare
Mercury,Suisei ,(Spy),C,Serration,9.09,Rare
Mercury,Suisei ,(Spy),C,Hornet Strike,9.09,Rare
Mercury,Suisei ,(Spy),C,Metal Auger,9.09,Rare
Mercury,Suisei ,(Spy),C,Volcanic Edge,9.09,Rare
Mercury,Suisei ,(Spy),C,Vicious Frost,9.09,Rare
Mercury,Suisei ,(Spy),C,Ivara Systems Blueprint,9.09,Rare
Venus,V Prime ,(Survival),A,Synthula,14.29,Uncommon
Venus,V Prime ,(Survival),A,1000 Credits Cache,14.29,Uncommon
Venus,V Prime ,(Survival),A,1500 Credits Cache,14.29,Uncommon
Venus,V Prime ,(Survival),A,2000 Credits Cache,14.29,Uncommon
Venus,V Prime ,(Survival),A,15 Endo,14.29,Uncommon
Venus,V Prime ,(Survival),A,50 Endo,14.29,Uncommon
Venus,V Prime ,(Survival),A,80 Endo,14.29,Uncommon
Venus,V Prime ,(Survival),B,Lith H2 Relic,8.33,Rare
Venus,V Prime ,(Survival),B,Parry,8.33,Rare
Venus,V Prime ,(Survival),B,Steel Fiber,8.33,Rare
Venus,V Prime ,(Survival),B,Serration,8.33,Rare
Venus,V Prime ,(Survival),B,Incendiary Coat,8.33,Rare
Venus,V Prime ,(Survival),B,Hornet Strike,8.33,Rare
Venus,V Prime ,(Survival),B,Intensify,8.33,Rare
Venus,V Prime ,(Survival),B,Lith P1 Relic,8.33,Rare
Venus,V Prime ,(Survival),B,Lith O1 Relic,8.33,Rare
Venus,V Prime ,(Survival),B,Lith Z2 Relic,8.33,Rare
Venus,V Prime ,(Survival),B,Lith C3 Relic,8.33,Rare
Venus,V Prime ,(Survival),B,Lith B5 Relic,8.33,Rare
Venus,V Prime ,(Survival),C,Lith H2 Relic,12.91,Uncommon
Venus,V Prime ,(Survival),C,Arrow Mutation,3.76,Rare
Venus,V Prime ,(Survival),C,Rifle Ammo Mutation,3.76,Rare
Venus,V Prime ,(Survival),C,Sniper Ammo Mutation,3.76,Rare
Venus,V Prime ,(Survival),C,Shotgun Ammo Mutation,3.76,Rare
Venus,V Prime ,(Survival),C,Pistol Ammo Mutation,3.76,Rare
Venus,V Prime ,(Survival),C,Cleanse Grineer,3.76,Rare
Venus,V Prime ,(Survival),C,Lith P1 Relic,12.91,Uncommon
Venus,V Prime ,(Survival),C,Lith O1 Relic,12.91,Uncommon
Venus,V Prime ,(Survival),C,Lith Z2 Relic,12.91,Uncommon
Venus,V Prime ,(Survival),C,Lith C3 Relic,12.91,Uncommon
Venus,V Prime ,(Survival),C,Lith B5 Relic,12.91,Uncommon
Venus,Ishtar ,(Caches),A,1000 Credits Cache,25,Uncommon
Venus,Ishtar ,(Caches),A,1500 Credits Cache,25,Uncommon
Venus,Ishtar ,(Caches),A,2000 Credits Cache,25,Uncommon
Venus,Ishtar ,(Caches),A,2500 Credits Cache,25,Uncommon
Venus,Ishtar ,(Caches),B,45 Endo,12.65,Uncommon
Venus,Ishtar ,(Caches),B,75 Endo,12.65,Uncommon
Venus,Ishtar ,(Caches),B,150 Endo,12.65,Uncommon
Venus,Ishtar ,(Caches),B,240X Polymer Bundle,12.65,Uncommon
Venus,Ishtar ,(Caches),B,750X Circuits,12.65,Uncommon
Venus,Ishtar ,(Caches),B,750X Alloy Plate,12.65,Uncommon
Venus,Ishtar ,(Caches),B,250 Endo,22.11,Uncommon
Venus,Ishtar ,(Caches),B,240 Endo,1.01,Ultra Rare
Venus,Ishtar ,(Caches),B,400 Endo,1.01,Ultra Rare
Venus,Ishtar ,(Caches),C,80 Endo,15.1,Uncommon
Venus,Ishtar ,(Caches),C,150 Endo,15.1,Uncommon
Venus,Ishtar ,(Caches),C,Morphics,15.1,Uncommon
Venus,Ishtar ,(Caches),C,Gallium,15.1,Uncommon
Venus,Ishtar ,(Caches),C,Neurodes,15.1,Uncommon
Venus,Ishtar ,(Caches),C,2X Morphics,5.5,Rare
Venus,Ishtar ,(Caches),C,2X Gallium,5.5,Rare
Venus,Ishtar ,(Caches),C,2X Neurodes,5.5,Rare
Venus,Ishtar ,(Caches),C,160 Endo,5.5,Rare
Venus,Ishtar ,(Caches),C,Argon Crystal,0.67,Legendary
Venus,Ishtar ,(Caches),C,Tellurium,0.67,Legendary
Venus,Ishtar ,(Caches),C,Nitain Extract,0.67,Legendary
Venus,Ishtar ,(Caches),C,Xiphos Fuselage Blueprint,0.5,Legendary
Venus,Ishtar ,(Caches),A,Synthula,14.29,Uncommon
Venus,Ishtar ,(Caches),A,1500 Credits Cache,14.29,Uncommon
Venus,Ishtar ,(Caches),A,50 Endo,14.29,Uncommon
Venus,Ishtar ,(Caches),A,80 Endo,14.29,Uncommon
Venus,Ishtar ,(Caches),A,Reflection,14.29,Uncommon
Venus,Ishtar ,(Caches),A,Reflex Guard,14.29,Uncommon
Venus,Ishtar ,(Caches),A,Parry,14.29,Uncommon
Venus,Ishtar ,(Caches),B,Lith H2 Relic,16.67,Uncommon
Venus,Ishtar ,(Caches),B,Lith P1 Relic,16.67,Uncommon
Venus,Ishtar ,(Caches),B,Lith O1 Relic,16.67,Uncommon
Venus,Ishtar ,(Caches),B,Lith Z2 Relic,16.67,Uncommon
Venus,Ishtar ,(Caches),B,Lith C3 Relic,16.67,Uncommon
Venus,Ishtar ,(Caches),B,Lith B5 Relic,16.67,Uncommon
Venus,Ishtar ,(Caches),C,2000 Credits Cache,9.09,Rare
Venus,Ishtar ,(Caches),C,3000 Credits Cache,9.09,Rare
Venus,Ishtar ,(Caches),C,Reflection,9.09,Rare
Venus,Ishtar ,(Caches),C,Parry,9.09,Rare
Venus,Ishtar ,(Caches),C,Heavy Impact,9.09,Rare
Venus,Ishtar ,(Caches),C,Serration,9.09,Rare
Venus,Ishtar ,(Caches),C,Hornet Strike,9.09,Rare
Venus,Ishtar ,(Caches),C,Metal Auger,9.09,Rare
Venus,Ishtar ,(Caches),C,Volcanic Edge,9.09,Rare
Venus,Ishtar ,(Caches),C,Vicious Frost,9.09,Rare
Venus,Ishtar ,(Caches),C,Ivara Systems Blueprint,9.09,Rare
Venus,Cytherean ,(Interception),A,Vitality,10,Uncommon
Venus,Cytherean ,(Interception),A,Magazine Warp,10,Uncommon
Venus,Cytherean ,(Interception),A,Trick Mag,10,Uncommon
Venus,Cytherean ,(Interception),A,Synthula,10,Uncommon
Venus,Cytherean ,(Interception),A,Lith H2 Relic,10,Uncommon
Venus,Cytherean ,(Interception),A,Lith P1 Relic,10,Uncommon
Venus,Cytherean ,(Interception),A,Lith O1 Relic,10,Uncommon
Venus,Cytherean ,(Interception),A,Lith Z2 Relic,10,Uncommon
Venus,Cytherean ,(Interception),A,Lith C3 Relic,10,Uncommon
Venus,Cytherean ,(Interception),A,Lith B5 Relic,10,Uncommon
Venus,Cytherean ,(Interception),B,Speed Trigger,5.88,Rare
Venus,Cytherean ,(Interception),B,Fast Deflection,5.88,Rare
Venus,Cytherean ,(Interception),B,Rush,5.88,Rare
Venus,Cytherean ,(Interception),B,Target Cracker,5.88,Rare
Venus,Cytherean ,(Interception),B,No Return,5.88,Rare
Venus,Cytherean ,(Interception),B,Serration,5.88,Rare
Venus,Cytherean ,(Interception),B,Hornet Strike,5.88,Rare
Venus,Cytherean ,(Interception),B,Reflex Coil,5.88,Rare
Venus,Cytherean ,(Interception),B,Deep Freeze,5.88,Rare
Venus,Cytherean ,(Interception),B,North Wind,5.88,Rare
Venus,Cytherean ,(Interception),B,Meso T1 Relic,5.88,Rare
Venus,Cytherean ,(Interception),B,Meso Z1 Relic,5.88,Rare
Venus,Cytherean ,(Interception),B,Meso B2 Relic,5.88,Rare
Venus,Cytherean ,(Interception),B,Meso S8 Relic,5.88,Rare
Venus,Cytherean ,(Interception),B,Meso T3 Relic,5.88,Rare
Venus,Cytherean ,(Interception),B,Meso D3 Relic,5.88,Rare
Venus,Cytherean ,(Interception),B,Meso R1 Relic,5.88,Rare
Venus,Cytherean ,(Interception),C,Natural Talent,2.58,Rare
Venus,Cytherean ,(Interception),C,Meso T1 Relic,13.92,Uncommon
Venus,Cytherean ,(Interception),C,Meso Z1 Relic,13.92,Uncommon
Venus,Cytherean ,(Interception),C,Meso B2 Relic,13.92,Uncommon
Venus,Cytherean ,(Interception),C,Meso S8 Relic,13.92,Uncommon
Venus,Cytherean ,(Interception),C,Meso T3 Relic,13.92,Uncommon
Venus,Cytherean ,(Interception),C,Meso D3 Relic,13.92,Uncommon
Venus,Cytherean ,(Interception),C,Meso R1 Relic,13.92,Uncommon
Venus,Linea ,(Rescue),B,Vapor Specter Blueprint,100,Very Common
Venus,Linea ,(Rescue),C,Phase Specter Blueprint,100,Very Common
Venus,Fossa ,(Assassination),,Rhino Neuroptics Blueprint,38.72,Common
Venus,Fossa ,(Assassination),,Rhino Chassis Blueprint,38.72,Common
Venus,Fossa ,(Assassination),,Rhino Systems Blueprint,22.56,Uncommon
Venus,Unda ,(Spy),A,Synthula,14.29,Uncommon
Venus,Unda ,(Spy),A,1500 Credits Cache,14.29,Uncommon
Venus,Unda ,(Spy),A,50 Endo,14.29,Uncommon
Venus,Unda ,(Spy),A,80 Endo,14.29,Uncommon
Venus,Unda ,(Spy),A,Reflection,14.29,Uncommon
Venus,Unda ,(Spy),A,Reflex Guard,14.29,Uncommon
Venus,Unda ,(Spy),A,Parry,14.29,Uncommon
Venus,Unda ,(Spy),B,Lith H2 Relic,16.67,Uncommon
Venus,Unda ,(Spy),B,Lith P1 Relic,16.67,Uncommon
Venus,Unda ,(Spy),B,Lith O1 Relic,16.67,Uncommon
Venus,Unda ,(Spy),B,Lith Z2 Relic,16.67,Uncommon
Venus,Unda ,(Spy),B,Lith C3 Relic,16.67,Uncommon
Venus,Unda ,(Spy),B,Lith B5 Relic,16.67,Uncommon
Venus,Unda ,(Spy),C,2000 Credits Cache,9.09,Rare
Venus,Unda ,(Spy),C,3000 Credits Cache,9.09,Rare
Venus,Unda ,(Spy),C,Reflection,9.09,Rare
Venus,Unda ,(Spy),C,Parry,9.09,Rare
Venus,Unda ,(Spy),C,Heavy Impact,9.09,Rare
Venus,Unda ,(Spy),C,Serration,9.09,Rare
Venus,Unda ,(Spy),C,Hornet Strike,9.09,Rare
Venus,Unda ,(Spy),C,Metal Auger,9.09,Rare
Venus,Unda ,(Spy),C,Volcanic Edge,9.09,Rare
Venus,Unda ,(Spy),C,Vicious Frost,9.09,Rare
Venus,Unda ,(Spy),C,Ivara Systems Blueprint,9.09,Rare
Venus,Malva ,(Survival),A,500 Credits Cache,14.29,Uncommon
Venus,Malva ,(Survival),A,1000 Credits Cache,14.29,Uncommon
Venus,Malva ,(Survival),A,1500 Credits Cache,14.29,Uncommon
Venus,Malva ,(Survival),A,2000 Credits Cache,14.29,Uncommon
Venus,Malva ,(Survival),A,15 Endo,14.29,Uncommon
Venus,Malva ,(Survival),A,50 Endo,14.29,Uncommon
Venus,Malva ,(Survival),A,80 Endo,14.29,Uncommon
Venus,Malva ,(Survival),B,Lith H2 Relic,8.33,Rare
Venus,Malva ,(Survival),B,Parry,8.33,Rare
Venus,Malva ,(Survival),B,Steel Fiber,8.33,Rare
Venus,Malva ,(Survival),B,Serration,8.33,Rare
Venus,Malva ,(Survival),B,Incendiary Coat,8.33,Rare
Venus,Malva ,(Survival),B,Hornet Strike,8.33,Rare
Venus,Malva ,(Survival),B,Intensify,8.33,Rare
Venus,Malva ,(Survival),B,Lith P1 Relic,8.33,Rare
Venus,Malva ,(Survival),B,Lith O1 Relic,8.33,Rare
Venus,Malva ,(Survival),B,Lith Z2 Relic,8.33,Rare
Venus,Malva ,(Survival),B,Lith C3 Relic,8.33,Rare
Venus,Malva ,(Survival),B,Lith B5 Relic,8.33,Rare
Venus,Malva ,(Survival),C,Lith H2 Relic,12.91,Uncommon
Venus,Malva ,(Survival),C,True Punishment,11.28,Uncommon
Venus,Malva ,(Survival),C,Quickening,11.28,Uncommon
Venus,Malva ,(Survival),C,Lith P1 Relic,12.91,Uncommon
Venus,Malva ,(Survival),C,Lith O1 Relic,12.91,Uncommon
Venus,Malva ,(Survival),C,Lith Z2 Relic,12.91,Uncommon
Venus,Malva ,(Survival),C,Lith C3 Relic,12.91,Uncommon
Venus,Malva ,(Survival),C,Lith B5 Relic,12.91,Uncommon
Venus,Venera ,(Capture),,Vitality,10.84,Uncommon
Venus,Venera ,(Capture),,Fast Deflection,10.84,Uncommon
Venus,Venera ,(Capture),,Rush,11.06,Uncommon
Venus,Venera ,(Capture),,Magazine Warp,10.84,Uncommon
Venus,Venera ,(Capture),,Trick Mag,10.84,Uncommon
Venus,Venera ,(Capture),,Pressure Point,0.34,Legendary
Venus,Venera ,(Capture),,Ammo Drum,11.06,Uncommon
Venus,Venera ,(Capture),,Fast Hands,10.84,Uncommon
Venus,Venera ,(Capture),,Quickdraw,10.84,Uncommon
Venus,Venera ,(Capture),,Health Restore (Large),10.84,Uncommon
Venus,Venera ,(Capture),,Omni Ammo Box,0.34,Legendary
Venus,Venera ,(Capture),,North Wind,0.34,Legendary
Venus,Venera ,(Capture),,Shocking Touch,0.34,Legendary
Venus,Venera ,(Capture),,Molten Impact,0.34,Legendary
Venus,Venera ,(Capture),,Stretch,0.34,Legendary
Venus,Tessera ,(Defense),A,Synthula,9.09,Rare
Venus,Tessera ,(Defense),A,Magazine Warp,9.09,Rare
Venus,Tessera ,(Defense),A,Trick Mag,9.09,Rare
Venus,Tessera ,(Defense),A,Pressure Point,9.09,Rare
Venus,Tessera ,(Defense),A,Ammo Drum,9.09,Rare
Venus,Tessera ,(Defense),A,Lith H2 Relic,9.09,Rare
Venus,Tessera ,(Defense),A,Lith P1 Relic,9.09,Rare
Venus,Tessera ,(Defense),A,Lith O1 Relic,9.09,Rare
Venus,Tessera ,(Defense),A,Lith Z2 Relic,9.09,Rare
Venus,Tessera ,(Defense),A,Lith C3 Relic,9.09,Rare
