LongName,RelicTier,Relic,Tier,Item,Droprate,Droprate Category
Axi B2 Relic (Exceptional),Axi,B2,Exceptional,Forma Blueprint,13.00,Uncommon
Axi B2 Relic (Exceptional),Axi,B2,Exceptional,Orthos Prime Blueprint,13.00,Uncommon
Axi B2 Relic (Exceptional),Axi,B2,Exceptional,Fragor Prime Head,23.33,Uncommon
Axi B2 Relic (Exceptional),Axi,B2,Exceptional,Sybaris Prime Blueprint,23.33,Uncommon
Axi B2 Relic (Exceptional),Axi,B2,Exceptional,Fang Prime Blade,23.33,Uncommon
Axi B2 Relic (Flawless),Axi,B2,Flawless,Banshee Prime Systems Blueprint,6.00,Rare
Axi B2 Relic (Flawless),Axi,B2,Flawless,Forma Blueprint,17.00,Uncommon
Axi B2 Relic (Flawless),Axi,B2,Flawless,Orthos Prime Blueprint,17.00,Uncommon
Axi B2 Relic (Flawless),Axi,B2,Flawless,Fragor Prime Head,20.00,Uncommon
Axi B2 Relic (Flawless),Axi,B2,Flawless,Sybaris Prime Blueprint,20.00,Uncommon
Axi B2 Relic (Flawless),Axi,B2,Flawless,Fang Prime Blade,20.00,Uncommon
Axi B2 Relic (Radiant),Axi,B2,Radiant,Banshee Prime Systems Blueprint,10.00,Uncommon
Axi B2 Relic (Radiant),Axi,B2,Radiant,Forma Blueprint,20.00,Uncommon
Axi B2 Relic (Radiant),Axi,B2,Radiant,Orthos Prime Blueprint,20.00,Uncommon
Axi B2 Relic (Radiant),Axi,B2,Radiant,Fragor Prime Head,16.67,Uncommon
Axi B2 Relic (Radiant),Axi,B2,Radiant,Sybaris Prime Blueprint,16.67,Uncommon
Axi B2 Relic (Radiant),Axi,B2,Radiant,Fang Prime Blade,16.67,Uncommon
Axi C1 Relic,Axi,C1,Intact,Cernos Prime Lower Limb,2.00,Rare
Axi C1 Relic,Axi,C1,Intact,Orthos Prime Blueprint,11.00,Uncommon
Axi C1 Relic,Axi,C1,Intact,Forma Blueprint,11.00,Uncommon
Axi C1 Relic,Axi,C1,Intact,Trinity Prime Neuroptics Blueprint,25.33,Uncommon
Axi C1 Relic,Axi,C1,Intact,Vectis Prime Barrel,25.33,Uncommon
Axi C1 Relic,Axi,C1,Intact,Lex Prime Receiver,25.33,Uncommon
Axi C1 Relic (Exceptional),Axi,C1,Exceptional,Cernos Prime Lower Limb,4.00,Rare
Axi C1 Relic (Exceptional),Axi,C1,Exceptional,Orthos Prime Blueprint,13.00,Uncommon
Axi C1 Relic (Exceptional),Axi,C1,Exceptional,Forma Blueprint,13.00,Uncommon
Axi C1 Relic (Exceptional),Axi,C1,Exceptional,Trinity Prime Neuroptics Blueprint,23.33,Uncommon
Axi C1 Relic (Exceptional),Axi,C1,Exceptional,Vectis Prime Barrel,23.33,Uncommon
Axi C1 Relic (Exceptional),Axi,C1,Exceptional,Lex Prime Receiver,23.33,Uncommon
Axi C1 Relic (Flawless),Axi,C1,Flawless,Cernos Prime Lower Limb,6.00,Rare
Axi C1 Relic (Flawless),Axi,C1,Flawless,Orthos Prime Blueprint,17.00,Uncommon
Axi C1 Relic (Flawless),Axi,C1,Flawless,Forma Blueprint,17.00,Uncommon
Axi C1 Relic (Flawless),Axi,C1,Flawless,Trinity Prime Neuroptics Blueprint,20.00,Uncommon
Axi C1 Relic (Flawless),Axi,C1,Flawless,Vectis Prime Barrel,20.00,Uncommon
Axi C1 Relic (Flawless),Axi,C1,Flawless,Lex Prime Receiver,20.00,Uncommon
Axi C1 Relic (Radiant),Axi,C1,Radiant,Cernos Prime Lower Limb,10.00,Uncommon
Axi C1 Relic (Radiant),Axi,C1,Radiant,Orthos Prime Blueprint,20.00,Uncommon
Axi C1 Relic (Radiant),Axi,C1,Radiant,Forma Blueprint,20.00,Uncommon
Axi C1 Relic (Radiant),Axi,C1,Radiant,Trinity Prime Neuroptics Blueprint,16.67,Uncommon
Axi C1 Relic (Radiant),Axi,C1,Radiant,Vectis Prime Barrel,16.67,Uncommon
Axi C1 Relic (Radiant),Axi,C1,Radiant,Lex Prime Receiver,16.67,Uncommon
Axi C2 Relic,Axi,C2,Intact,Cernos Prime Lower Limb,2.00,Rare
Axi C2 Relic,Axi,C2,Intact,Silva & Aegis Prime Blade,11.00,Uncommon
Axi C2 Relic,Axi,C2,Intact,Fragor Prime Handle,11.00,Uncommon
Axi C2 Relic,Axi,C2,Intact,Forma Blueprint,25.33,Uncommon
Axi C2 Relic,Axi,C2,Intact,Trinity Prime Systems Blueprint,25.33,Uncommon
Axi C2 Relic,Axi,C2,Intact,Braton Prime Blueprint,25.33,Uncommon
Axi C2 Relic (Exceptional),Axi,C2,Exceptional,Cernos Prime Lower Limb,4.00,Rare
Axi C2 Relic (Exceptional),Axi,C2,Exceptional,Silva & Aegis Prime Blade,13.00,Uncommon
Axi C2 Relic (Exceptional),Axi,C2,Exceptional,Fragor Prime Handle,13.00,Uncommon
Axi C2 Relic (Exceptional),Axi,C2,Exceptional,Forma Blueprint,23.33,Uncommon
Axi C2 Relic (Exceptional),Axi,C2,Exceptional,Trinity Prime Systems Blueprint,23.33,Uncommon
Axi C2 Relic (Exceptional),Axi,C2,Exceptional,Braton Prime Blueprint,23.33,Uncommon
Axi C2 Relic (Flawless),Axi,C2,Flawless,Cernos Prime Lower Limb,6.00,Rare
Axi C2 Relic (Flawless),Axi,C2,Flawless,Silva & Aegis Prime Blade,17.00,Uncommon
Axi C2 Relic (Flawless),Axi,C2,Flawless,Fragor Prime Handle,17.00,Uncommon
Axi C2 Relic (Flawless),Axi,C2,Flawless,Forma Blueprint,20.00,Uncommon
Axi C2 Relic (Flawless),Axi,C2,Flawless,Trinity Prime Systems Blueprint,20.00,Uncommon
Axi C2 Relic (Flawless),Axi,C2,Flawless,Braton Prime Blueprint,20.00,Uncommon
Axi C2 Relic (Radiant),Axi,C2,Radiant,Cernos Prime Lower Limb,10.00,Uncommon
Axi C2 Relic (Radiant),Axi,C2,Radiant,Silva & Aegis Prime Blade,20.00,Uncommon
Axi C2 Relic (Radiant),Axi,C2,Radiant,Fragor Prime Handle,20.00,Uncommon
Axi C2 Relic (Radiant),Axi,C2,Radiant,Forma Blueprint,16.67,Uncommon
Axi C2 Relic (Radiant),Axi,C2,Radiant,Trinity Prime Systems Blueprint,16.67,Uncommon
Axi C2 Relic (Radiant),Axi,C2,Radiant,Braton Prime Blueprint,16.67,Uncommon
Axi C3 Relic,Axi,C3,Intact,Chroma Prime Systems Blueprint,2.00,Rare
Axi C3 Relic,Axi,C3,Intact,Banshee Prime Blueprint,11.00,Uncommon
Axi C3 Relic,Axi,C3,Intact,Pyrana Prime Receiver,11.00,Uncommon
Axi C3 Relic,Axi,C3,Intact,Helios Prime Carapace,25.33,Uncommon
Axi C3 Relic,Axi,C3,Intact,Forma Blueprint,25.33,Uncommon
Axi C3 Relic,Axi,C3,Intact,Hydroid Prime Chassis Blueprint,25.33,Uncommon
Axi C3 Relic (Exceptional),Axi,C3,Exceptional,Chroma Prime Systems Blueprint,4.00,Rare
Axi C3 Relic (Exceptional),Axi,C3,Exceptional,Banshee Prime Blueprint,13.00,Uncommon
Axi C3 Relic (Exceptional),Axi,C3,Exceptional,Pyrana Prime Receiver,13.00,Uncommon
Axi C3 Relic (Exceptional),Axi,C3,Exceptional,Helios Prime Carapace,23.33,Uncommon
Axi C3 Relic (Exceptional),Axi,C3,Exceptional,Forma Blueprint,23.33,Uncommon
Axi C3 Relic (Exceptional),Axi,C3,Exceptional,Hydroid Prime Chassis Blueprint,23.33,Uncommon
Axi C3 Relic (Flawless),Axi,C3,Flawless,Chroma Prime Systems Blueprint,6.00,Rare
Axi C3 Relic (Flawless),Axi,C3,Flawless,Banshee Prime Blueprint,17.00,Uncommon
Axi C3 Relic (Flawless),Axi,C3,Flawless,Pyrana Prime Receiver,17.00,Uncommon
Axi C3 Relic (Flawless),Axi,C3,Flawless,Helios Prime Carapace,20.00,Uncommon
Axi C3 Relic (Flawless),Axi,C3,Flawless,Forma Blueprint,20.00,Uncommon
Axi C3 Relic (Flawless),Axi,C3,Flawless,Hydroid Prime Chassis Blueprint,20.00,Uncommon
Axi C3 Relic (Radiant),Axi,C3,Radiant,Chroma Prime Systems Blueprint,10.00,Uncommon
Axi C3 Relic (Radiant),Axi,C3,Radiant,Banshee Prime Blueprint,20.00,Uncommon
Axi C3 Relic (Radiant),Axi,C3,Radiant,Pyrana Prime Receiver,20.00,Uncommon
Axi C3 Relic (Radiant),Axi,C3,Radiant,Helios Prime Carapace,16.67,Uncommon
Axi C3 Relic (Radiant),Axi,C3,Radiant,Forma Blueprint,16.67,Uncommon
Axi C3 Relic (Radiant),Axi,C3,Radiant,Hydroid Prime Chassis Blueprint,16.67,Uncommon
Axi E1 Relic,Axi,E1,Intact,Ember Prime Blueprint,2.00,Rare
Axi E1 Relic,Axi,E1,Intact,Glaive Prime Blade,11.00,Uncommon
Axi E1 Relic,Axi,E1,Intact,Forma Blueprint,11.00,Uncommon
Axi E1 Relic,Axi,E1,Intact,Latron Prime Barrel,25.33,Uncommon
Axi E1 Relic,Axi,E1,Intact,Sicarus Prime Blueprint,25.33,Uncommon
Axi E1 Relic,Axi,E1,Intact,Frost Prime Neuroptics Blueprint,25.33,Uncommon
Axi E1 Relic (Exceptional),Axi,E1,Exceptional,Ember Prime Blueprint,4.00,Rare
Axi E1 Relic (Exceptional),Axi,E1,Exceptional,Glaive Prime Blade,13.00,Uncommon
Axi E1 Relic (Exceptional),Axi,E1,Exceptional,Forma Blueprint,13.00,Uncommon
Axi E1 Relic (Exceptional),Axi,E1,Exceptional,Latron Prime Barrel,23.33,Uncommon
Axi E1 Relic (Exceptional),Axi,E1,Exceptional,Sicarus Prime Blueprint,23.33,Uncommon
Axi E1 Relic (Exceptional),Axi,E1,Exceptional,Frost Prime Neuroptics Blueprint,23.33,Uncommon
Axi E1 Relic (Flawless),Axi,E1,Flawless,Ember Prime Blueprint,6.00,Rare
Axi E1 Relic (Flawless),Axi,E1,Flawless,Glaive Prime Blade,17.00,Uncommon
Axi E1 Relic (Flawless),Axi,E1,Flawless,Forma Blueprint,17.00,Uncommon
Axi E1 Relic (Flawless),Axi,E1,Flawless,Latron Prime Barrel,20.00,Uncommon
Axi E1 Relic (Flawless),Axi,E1,Flawless,Sicarus Prime Blueprint,20.00,Uncommon
Axi E1 Relic (Flawless),Axi,E1,Flawless,Frost Prime Neuroptics Blueprint,20.00,Uncommon
Axi E1 Relic (Radiant),Axi,E1,Radiant,Ember Prime Blueprint,10.00,Uncommon
Axi E1 Relic (Radiant),Axi,E1,Radiant,Glaive Prime Blade,20.00,Uncommon
Axi E1 Relic (Radiant),Axi,E1,Radiant,Forma Blueprint,20.00,Uncommon
Axi E1 Relic (Radiant),Axi,E1,Radiant,Latron Prime Barrel,16.67,Uncommon
Axi E1 Relic (Radiant),Axi,E1,Radiant,Sicarus Prime Blueprint,16.67,Uncommon
Axi E1 Relic (Radiant),Axi,E1,Radiant,Frost Prime Neuroptics Blueprint,16.67,Uncommon
Axi E2 Relic,Axi,E2,Intact,Euphona Prime Receiver,2.00,Rare
Axi E2 Relic,Axi,E2,Intact,Bronco Prime Barrel,11.00,Uncommon
Axi E2 Relic,Axi,E2,Intact,Forma Blueprint,11.00,Uncommon
Axi E2 Relic,Axi,E2,Intact,Paris Prime Blueprint,25.33,Uncommon
Axi E2 Relic,Axi,E2,Intact,Lex Prime Receiver,25.33,Uncommon
Axi E2 Relic,Axi,E2,Intact,Braton Prime Stock,25.33,Uncommon
Axi E2 Relic (Exceptional),Axi,E2,Exceptional,Euphona Prime Receiver,4.00,Rare
Axi E2 Relic (Exceptional),Axi,E2,Exceptional,Bronco Prime Barrel,13.00,Uncommon
Axi E2 Relic (Exceptional),Axi,E2,Exceptional,Forma Blueprint,13.00,Uncommon
Axi E2 Relic (Exceptional),Axi,E2,Exceptional,Paris Prime Blueprint,23.33,Uncommon
Axi E2 Relic (Exceptional),Axi,E2,Exceptional,Lex Prime Receiver,23.33,Uncommon
Axi E2 Relic (Exceptional),Axi,E2,Exceptional,Braton Prime Stock,23.33,Uncommon
Axi E2 Relic (Flawless),Axi,E2,Flawless,Euphona Prime Receiver,6.00,Rare
Axi E2 Relic (Flawless),Axi,E2,Flawless,Bronco Prime Barrel,17.00,Uncommon
Axi E2 Relic (Flawless),Axi,E2,Flawless,Forma Blueprint,17.00,Uncommon
Axi E2 Relic (Flawless),Axi,E2,Flawless,Paris Prime Blueprint,20.00,Uncommon
Axi E2 Relic (Flawless),Axi,E2,Flawless,Lex Prime Receiver,20.00,Uncommon
Axi E2 Relic (Flawless),Axi,E2,Flawless,Braton Prime Stock,20.00,Uncommon
Axi E2 Relic (Radiant),Axi,E2,Radiant,Euphona Prime Receiver,10.00,Uncommon
Axi E2 Relic (Radiant),Axi,E2,Radiant,Bronco Prime Barrel,20.00,Uncommon
Axi E2 Relic (Radiant),Axi,E2,Radiant,Forma Blueprint,20.00,Uncommon
Axi E2 Relic (Radiant),Axi,E2,Radiant,Paris Prime Blueprint,16.67,Uncommon
Axi E2 Relic (Radiant),Axi,E2,Radiant,Lex Prime Receiver,16.67,Uncommon
Axi E2 Relic (Radiant),Axi,E2,Radiant,Braton Prime Stock,16.67,Uncommon
Axi G1 Relic,Axi,G1,Intact,Galatine Prime Blueprint,2.00,Rare
Axi G1 Relic,Axi,G1,Intact,Kavasa Prime Kubrow Collar Blueprint,11.00,Uncommon
Axi G1 Relic,Axi,G1,Intact,Forma Blueprint,11.00,Uncommon
Axi G1 Relic,Axi,G1,Intact,Nekros Prime Chassis Blueprint,25.33,Uncommon
Axi G1 Relic,Axi,G1,Intact,Saryn Prime Systems Blueprint,25.33,Uncommon
Axi G1 Relic,Axi,G1,Intact,Paris Prime Blueprint,25.33,Uncommon
Axi G1 Relic (Exceptional),Axi,G1,Exceptional,Galatine Prime Blueprint,4.00,Rare
Axi G1 Relic (Exceptional),Axi,G1,Exceptional,Kavasa Prime Kubrow Collar Blueprint,13.00,Uncommon
Axi G1 Relic (Exceptional),Axi,G1,Exceptional,Forma Blueprint,13.00,Uncommon
Axi G1 Relic (Exceptional),Axi,G1,Exceptional,Nekros Prime Chassis Blueprint,23.33,Uncommon
Axi G1 Relic (Exceptional),Axi,G1,Exceptional,Saryn Prime Systems Blueprint,23.33,Uncommon
Axi G1 Relic (Exceptional),Axi,G1,Exceptional,Paris Prime Blueprint,23.33,Uncommon
Axi G1 Relic (Flawless),Axi,G1,Flawless,Galatine Prime Blueprint,6.00,Rare
Axi G1 Relic (Flawless),Axi,G1,Flawless,Kavasa Prime Kubrow Collar Blueprint,17.00,Uncommon
Axi G1 Relic (Flawless),Axi,G1,Flawless,Forma Blueprint,17.00,Uncommon
Axi G1 Relic (Flawless),Axi,G1,Flawless,Nekros Prime Chassis Blueprint,20.00,Uncommon
Axi G1 Relic (Flawless),Axi,G1,Flawless,Saryn Prime Systems Blueprint,20.00,Uncommon
Axi G1 Relic (Flawless),Axi,G1,Flawless,Paris Prime Blueprint,20.00,Uncommon
Axi G1 Relic (Radiant),Axi,G1,Radiant,Galatine Prime Blueprint,10.00,Uncommon
Axi G1 Relic (Radiant),Axi,G1,Radiant,Kavasa Prime Kubrow Collar Blueprint,20.00,Uncommon
Axi G1 Relic (Radiant),Axi,G1,Radiant,Forma Blueprint,20.00,Uncommon
Axi G1 Relic (Radiant),Axi,G1,Radiant,Nekros Prime Chassis Blueprint,16.67,Uncommon
Axi G1 Relic (Radiant),Axi,G1,Radiant,Saryn Prime Systems Blueprint,16.67,Uncommon
Axi G1 Relic (Radiant),Axi,G1,Radiant,Paris Prime Blueprint,16.67,Uncommon
